date,power
05/01/2018 9:00,14.5
05/01/2018 9:10,14.0
05/01/2018 9:20,14.0
05/01/2018 9:30,14.4
05/01/2018 9:40,14.8
05/01/2018 9:50,13.7
05/01/2018 10:00,13.7
05/01/2018 10:10,13.6
05/01/2018 10:20,13.4
05/01/2018 10:30,13.3
05/01/2018 10:40,14.3
05/01/2018 10:50,13.3
05/01/2018 11:00,13.8
05/01/2018 11:10,13.8
05/01/2018 11:20,13.7
05/01/2018 11:30,13.5
05/01/2018 11:40,13.4
05/01/2018 11:50,13.4
05/01/2018 12:00,13.3
05/01/2018 12:10,13.5
05/01/2018 12:20,13.5
05/01/2018 12:30,14.1
05/01/2018 12:40,13.6
05/01/2018 12:50,13.3
05/01/2018 13:00,13.2
05/01/2018 13:10,13.4
05/01/2018 13:20,13.4
05/01/2018 13:30,13.3
05/01/2018 13:40,13.2
05/01/2018 13:50,13.3
05/01/2018 14:00,13.5
05/01/2018 14:10,13.4
05/01/2018 14:20,13.1
05/01/2018 14:30,13.3
05/01/2018 14:40,13.3
05/01/2018 14:50,12.9
05/01/2018 15:00,13.1
05/01/2018 15:10,13.3
05/01/2018 15:20,13.4
05/01/2018 15:30,13.2
05/01/2018 15:40,13.5
05/01/2018 15:50,13.3
05/01/2018 16:00,13.1
05/01/2018 16:10,13.2
05/01/2018 16:20,13.3
05/01/2018 16:30,13.1
05/01/2018 16:40,13.3
05/01/2018 16:50,13.5
05/01/2018 17:00,13.4
05/01/2018 17:10,13.4
05/01/2018 17:20,13.5
05/01/2018 17:30,13.4
05/01/2018 17:40,13.8
05/01/2018 17:50,15.1
05/01/2018 18:00,16.1
05/01/2018 18:10,17.1
05/01/2018 18:20,16.1
05/01/2018 18:30,15.9
05/01/2018 18:40,16.2
05/01/2018 18:50,16.1
05/01/2018 19:00,16.9
05/01/2018 19:10,16.9
05/01/2018 19:20,16.5
05/01/2018 19:30,16.4
05/01/2018 19:40,16.5
05/01/2018 19:50,16.3
05/01/2018 20:00,16.2
05/01/2018 20:10,16.4
05/01/2018 20:20,16.2
05/01/2018 20:30,15.8
05/01/2018 20:40,15.5
05/01/2018 20:50,15.7
05/01/2018 21:00,15.5
05/01/2018 21:10,15.0
05/01/2018 21:20,15.1
05/01/2018 21:30,15.2
05/01/2018 21:40,14.8
05/01/2018 21:50,15.0
05/01/2018 22:00,15.0
05/01/2018 22:10,13.6
05/01/2018 22:20,12.7
05/01/2018 22:30,12.7
05/01/2018 22:40,12.6
05/01/2018 22:50,12.3
05/01/2018 23:00,12.4
05/01/2018 23:10,13.0
05/01/2018 23:20,12.9
05/01/2018 23:30,12.4
05/01/2018 23:40,12.3
05/01/2018 23:50,12.2
06/01/2018 0:00,12.0
